Vehicle_ID,Frame_ID,Total_Frames,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_Length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,Preceding,Following,Space_Headway,Time_Headway,time_period,pair_id,leader_class,ego_class,mode_id
1570,4709,836,1.11343E+12,25.513,413.993,6042805.862,2133481.574,71.7,8.5,3,29.21,-0.26,3,1539,3345,250.99,8.59,1,3399,3,3,4
1570,4715,836,1.11343E+12,25.727,431.624,6042803.67,2133499.498,71.7,8.5,3,30.92,-2.06,3,1539,3345,245.67,7.95,1,3399,3,3,4
1570,4719,836,1.11343E+12,25.76,442.964,6042802.325,2133510.386,71.7,8.5,3,25.84,-1.5,3,1539,3345,242.36,9.38,1,3399,3,3,4
1570,4721,836,1.11343E+12,25.751,448.115,6042801.694,2133515.498,71.7,8.5,3,26.21,3.23,3,1539,3345,241.21,9.2,1,3399,3,3,4
1570,4722,836,1.11343E+12,25.745,450.79,6042801.363,2133518.176,71.7,8.5,3,26.24,-2.62,3,1539,3345,240.53,9.17,1,3399,3,3,4
1570,4725,836,1.11343E+12,25.731,458.471,6042800.425,2133525.769,71.7,8.5,3,25.05,-1.57,3,1539,1648,238.86,9.54,1,3399,3,3,4
1570,4726,836,1.11343E+12,25.726,460.954,6042800.119,2133528.25,71.7,8.5,3,24.96,0.22,3,1539,1648,238.55,9.56,1,3399,3,3,4
1570,4727,836,1.11343E+12,25.722,463.449,6042799.813,2133530.731,71.7,8.5,3,25,0.52,3,1539,1648,238.33,9.53,1,3399,3,3,4
1570,4728,836,1.11343E+12,25.717,465.954,6042799.506,2133533.212,71.7,8.5,3,25.04,0.26,3,1539,1648,238.17,9.51,1,3399,3,3,4
1570,4729,836,1.11343E+12,25.712,468.47,6042799.2,2133535.693,71.7,8.5,3,24.95,-1.53,3,1539,1648,238,9.54,1,3399,3,3,4
1570,4732,836,1.11343E+12,25.698,475.779,6042798.299,2133542.987,71.7,8.5,3,23.63,-3.22,3,1539,1648,238,10.07,1,3399,3,3,4
1570,4733,836,1.11343E+12,25.695,478.084,6042798.017,2133545.272,71.7,8.5,3,23.63,3.21,3,1539,1648,238.26,10.08,1,3399,3,3,4
1570,4736,836,1.11343E+12,25.693,485.391,6042797.116,2133552.565,71.7,8.5,3,24.95,1.55,3,1539,1648,238.9,9.58,1,3399,3,3,4
1570,4737,836,1.11343E+12,25.693,487.906,6042796.81,2133555.046,71.7,8.5,3,25.05,0.02,3,1539,1648,238.93,9.54,1,3399,3,3,4
1570,4738,836,1.11343E+12,25.692,490.412,6042796.503,2133557.528,71.7,8.5,3,25.05,-0.02,3,1539,1648,238.92,9.54,1,3399,3,3,4
1570,4739,836,1.11343E+12,25.692,492.925,6042796.197,2133560.009,71.7,8.5,3,24.96,-1.29,3,1539,1648,238.92,9.57,1,3399,3,3,4
1570,4744,836,1.11343E+12,25.689,504.748,6042794.744,2133571.768,71.7,8.5,3,22.03,-2.7,3,1539,1648,239.61,10.88,1,3399,3,3,4
1570,4749,836,1.11343E+12,25.687,516.415,6042793.313,2133583.361,71.7,8.5,3,24.63,-2.93,3,1539,1648,239.53,9.73,1,3399,3,3,4
1570,4752,836,1.11343E+12,25.686,523.542,6042792.44,2133590.43,71.7,8.5,3,22.89,-2.86,3,1539,1648,239.44,10.46,1,3399,3,3,4
1570,4755,836,1.11343E+12,25.684,530.461,6042791.597,2133597.254,71.7,8.5,3,23.62,0.96,3,1539,1648,240.73,10.19,1,3399,3,3,4
1570,4762,836,1.11343E+12,25.708,546.373,6042789.636,2133613.133,71.7,8.5,3,23.74,2.68,3,1539,1648,236.86,9.98,1,3399,3,3,4
1570,4763,836,1.11343E+12,25.714,548.791,6042789.337,2133615.559,71.7,8.5,3,23.81,-1.82,3,1539,1648,234.9,9.87,1,3399,3,3,4
1570,4764,836,1.11343E+12,25.719,551.165,6042789.045,2133617.918,71.7,8.5,3,23.71,-1.59,3,1539,1648,233.26,9.84,1,3399,3,3,4
1570,4765,836,1.11343E+12,25.725,553.502,6042788.763,2133620.203,71.7,8.5,3,23.78,2.63,3,1539,1648,231.93,9.75,1,3399,3,3,4
